n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
10,5,0.0,10,5,5,0.5436160037898382,-8.914878428009633,6
21,10,0.05,10,5,5,0.5378749982438665,-9.319671374586937,7
19,20,0.0,10,5,5,0.5337554037621153,-11.991502013965732,5
19,20,0.01,10,5,5,0.5286388479453292,-11.359573313046834,5
15,10,0.01,10,5,5,0.5254039561756626,-12.58099460946947,7
12,10,0.0,10,5,5,0.5216017244110386,-11.480222962405543,7
21,15,0.01,5,5,5,0.5201436194401865,-9.884950707166228,8
8,15,0.0,5,5,5,0.5081421598970004,-12.21136957279118,7
19,20,0.05,10,5,5,0.5076589166651111,-11.36719966487318,5
3,10,0.01,5,5,5,0.5074666193720585,-10.201001119896125,9
15,10,0.0,10,5,5,0.5066007172728653,-11.131201526220416,7
17,20,0.01,10,5,5,0.5057526099950701,-12.311910662465984,6
3,20,0.05,5,5,5,0.5036340803736769,-8.56850156273466,5
12,10,0.0,5,5,5,0.5022414626777982,-11.989778471774065,8
13,5,0.01,10,5,10,0.5019960711014714,-16.340262710703488,3
9,20,0.01,5,5,5,0.5016249004415391,-10.742353493900396,7
21,10,0.01,10,5,5,0.4985347577552599,-9.316326862994385,7
21,10,0.0,10,5,5,0.4985347577552599,-9.313288170381151,7
3,20,0.0,10,5,5,0.49761697798366805,-9.90288687258555,7
3,20,0.0,5,5,5,0.49761697798366805,-9.90288687258555,7
15,10,0.05,5,5,5,0.49648054077411796,-11.691254193092425,8
7,10,0.0,5,5,5,0.49607118326401417,-11.53370338721942,7
7,15,0.01,5,5,5,0.4944255599384258,-11.15515075540124,9
5,15,0.05,10,5,5,0.4943934265965654,-11.608233809941966,6
5,20,0.0,5,5,5,0.4943868354387891,-11.3720989840634,7
3,15,0.0,5,5,5,0.4939175177276159,-11.709203711320392,9
21,15,0.0,5,5,5,0.4923965633966428,-9.96152567813065,7
10,15,0.0,10,5,5,0.4909203384238515,-11.23288512263209,6
15,10,0.01,5,5,5,0.4906291939105486,-12.57628211111764,8
21,20,0.05,5,5,5,0.4903402467253764,-10.702469445019235,7
5,15,0.0,5,5,5,0.4881816179441907,-12.860868833193635,7
8,15,0.01,5,5,5,0.4881458492806539,-13.293525196068694,7
13,20,0.05,5,5,5,0.4876839647309203,-11.582425508414639,8
10,5,0.01,10,5,5,0.4868071675481252,-10.766061929735342,5
7,15,0.0,10,5,5,0.48622421078087186,-10.681190976812658,7
8,10,0.0,5,5,5,0.4853302190571024,-12.55334759353175,8
15,20,0.01,5,5,5,0.48454477756067743,-10.677986828502354,7
12,15,0.0,5,5,5,0.4825040249861493,-12.520661464414712,8
19,10,0.0,10,5,10,0.4814778270572042,-17.15615867173139,4
12,20,0.0,5,5,5,0.4810560678896339,-11.14759246120796,9
10,20,0.01,10,5,5,0.4803185045071664,-12.797820789295866,6
7,10,0.01,10,5,5,0.47931291011744454,-12.146149273458812,6
7,10,0.01,5,5,5,0.47931291011744454,-12.146149273458812,6
19,10,0.01,10,5,5,0.4786409428327971,-12.093544178870726,8
15,10,0.05,10,5,5,0.47815547684850374,-11.01011901880175,7
8,10,0.01,5,5,5,0.4775594432741231,-13.17640355078004,8
17,15,0.0,10,5,10,0.47684516258657356,-17.130298895365996,5
3,15,0.05,10,5,5,0.475751761880515,-12.15450129002005,7
3,15,0.05,5,5,5,0.475751761880515,-12.15450129002005,7
9,10,0.01,10,5,5,0.47536101976512324,-12.627624766178867,8
13,15,0.0,5,5,5,0.474101666641223,-11.14717767348646,9
21,10,0.0,5,5,5,0.47348601367388715,-10.98862163848267,9
21,10,0.01,5,5,5,0.47348601367388715,-11.001266649878652,9
7,10,0.05,10,5,5,0.47341554230706206,-11.424099120417504,7
7,10,0.05,5,5,5,0.47341554230706206,-11.424099120417504,7
10,20,0.01,5,5,5,0.4726617510495553,-12.030967491343358,8
19,10,0.01,5,5,5,0.4725220637858014,-11.903968728823,9
12,5,0.0,10,5,5,0.4714149650926722,-11.35603517265635,5
11,20,0.01,5,5,5,0.4710039937176928,-10.753116459165645,7
13,10,0.0,10,5,5,0.4709677817074356,-13.51088860134451,6
15,20,0.01,10,5,5,0.4708948153286998,-12.849172231557732,5
19,10,0.05,5,5,5,0.47032364093008816,-11.302546029481945,8
19,10,0.05,10,5,5,0.47032364093008816,-11.302546029481945,8
9,20,0.05,5,5,5,0.46979144485592234,-10.327185882122432,6
9,20,0.05,10,5,5,0.46979144485592234,-10.327185882122432,6
13,20,0.05,10,5,5,0.46933691018123963,-12.136588120707756,7
3,20,0.01,10,5,5,0.46843058740742627,-11.59582557209821,6
17,10,0.05,5,5,5,0.4683865810061822,-12.186948939194728,9
5,20,0.0,10,5,5,0.4680190126972982,-12.097127576438805,6
7,15,0.05,5,5,10,0.46783567778465046,-17.569021283829468,4
5,5,0.01,10,5,5,0.4678111959726392,-11.029474725279378,5
21,15,0.05,5,5,5,0.467769282601132,-11.789261735964116,8
8,15,0.0,5,5,10,0.4675142182745719,-16.31455591013459,7
10,20,0.0,5,5,5,0.4674683501527132,-11.8099093267758,8
8,20,0.01,10,5,10,0.4674320291933103,-18.03069942340129,4
17,15,0.05,5,5,5,0.4673233113147808,-9.589787845846768,7
5,15,0.01,5,5,5,0.466005405274469,-12.821044682698542,8
17,15,0.01,5,5,5,0.4658435609807747,-10.32336616530226,7
3,20,0.05,10,5,5,0.4656026116441974,-11.463806665775792,6
5,20,0.05,10,5,5,0.4649891927067566,-13.373137805240813,6
15,15,0.05,10,5,10,0.46487859210171856,-17.406279944062177,5
9,10,0.01,5,5,5,0.4647966824695215,-12.338037876648837,9
17,20,0.0,10,5,5,0.4646552099318777,-11.004640010214631,6
7,15,0.0,5,5,5,0.46455501916233255,-9.942254730498194,5
7,20,0.0,10,5,10,0.46446161083996484,-16.018666879500476,6
13,20,0.01,5,5,5,0.46369800906401937,-11.454846458364916,9
5,20,0.01,5,5,5,0.4634816721542004,-12.929696979157901,7
7,20,0.0,5,5,5,0.4631468531232951,-10.025292318609413,9
10,15,0.0,10,5,10,0.4630791259912403,-15.82949310251546,6
9,10,0.05,10,5,5,0.4630235400743719,-11.094106631148742,8
17,20,0.05,10,5,10,0.4628010457115662,-16.482591254327318,6
11,10,0.01,5,5,5,0.46247984559287686,-12.149237074197421,7
3,5,0.0,10,5,5,0.4621787300735302,-12.480399132122779,8
3,10,0.0,10,5,5,0.4620745217821591,-13.957371895054079,7
3,10,0.0,5,5,5,0.4620745217821591,-13.957371895054079,7
11,5,0.0,10,5,10,0.4616595134300074,-17.567713371684174,7
17,20,0.0,5,5,5,0.4615395416254029,-11.291730519833772,7
15,5,0.0,5,5,5,0.4614375752836472,-12.759698980137623,7
12,15,0.01,10,5,10,0.4613877215158024,-15.55501323409749,6
17,15,0.05,10,5,5,0.4613576999046328,-10.74260701214112,6
8,20,0.0,10,5,10,0.4611822990067232,-17.860428088460555,4
8,20,0.0,5,5,10,0.4611822990067232,-17.860428088460555,4
13,20,0.0,10,5,5,0.4607819929171727,-12.032513807503697,6
3,15,0.01,5,5,5,0.4607619497625213,-11.50251385456689,7
21,20,0.0,10,5,5,0.46056883869799037,-11.581777221603485,6
17,15,0.05,10,5,10,0.4601708405079048,-15.550334714022833,6
12,15,0.0,10,5,5,0.4599067044906489,-11.146061029835996,6
15,5,0.0,10,5,5,0.45980473501636787,-10.156234051044617,6
3,5,0.05,10,5,5,0.4597315630932217,-8.615862752756124,4
11,15,0.0,5,5,5,0.45970865037628267,-10.655590293182977,8
5,10,0.05,10,5,5,0.45920454846379616,-11.139078266402342,7
5,20,0.05,10,5,10,0.4591007379791468,-15.64947059408741,6
10,20,0.0,10,5,5,0.4589464342568308,-11.775122039508709,7
9,10,0.0,10,5,5,0.45893639231344013,-11.865427689999974,7
15,15,0.05,5,5,10,0.4587114658508827,-17.87508657209246,4
15,10,0.0,5,5,5,0.4572860482886036,-13.263804820236933,9
13,20,0.0,10,5,10,0.45722594191029164,-15.863109931701317,6
17,10,0.05,5,5,10,0.4571854701600482,-17.147153650037843,9
19,15,0.0,5,5,5,0.45670114896373626,-10.528896582081137,9
5,10,0.0,10,5,5,0.45626495468963085,-12.900271126083892,8
17,10,0.01,5,5,5,0.4558845090627643,-12.231297472814346,7
21,15,0.0,10,5,10,0.4556465093974551,-16.12719928248386,6
13,10,0.0,5,5,10,0.455545673885601,-15.737753774893484,7
11,5,0.0,5,5,10,0.45527692421349975,-17.780786099899828,10
3,15,0.0,10,5,5,0.45521138477938816,-12.846841205301644,6
12,20,0.0,10,5,10,0.4550938741756251,-15.873872378167931,6
3,10,0.05,5,5,5,0.4545690642058662,-11.286237098156375,9
17,20,0.0,10,5,10,0.4545170419689583,-16.209676584814588,6
3,5,0.01,10,5,5,0.4544148628469598,-12.554641521998311,6
11,20,0.05,10,5,10,0.45432548006545853,-15.445844442779016,6
5,20,0.05,5,5,10,0.45422508411998336,-16.033143927237916,7
13,5,0.01,10,5,5,0.45368048392152815,-14.13812733921541,3
10,10,0.0,10,5,5,0.453677417784397,-11.629762219446109,6
17,20,0.01,5,5,5,0.45335476250311046,-10.951021312601066,7
9,15,0.0,5,5,10,0.4530682511832788,-17.660682303713013,6
9,15,0.0,10,5,10,0.4530682511832788,-17.660682303713013,6
17,15,0.05,5,5,10,0.4530254726736898,-15.626578760757383,7
15,20,0.05,10,5,5,0.452835366343491,-11.209338625378871,6
13,20,0.01,10,5,5,0.4527587720935033,-11.61623255355315,6
5,20,0.01,10,5,5,0.4527191376607904,-13.956028658078703,6
10,20,0.01,10,5,10,0.4525958034935516,-15.736774270729262,6
21,20,0.0,5,5,5,0.45224566446491216,-13.197635416370085,8
11,10,0.01,10,5,5,0.4522440476275399,-12.042636661018202,6
13,15,0.05,10,5,5,0.4521892814484102,-11.651181026664041,6
11,15,0.05,5,5,10,0.45209297887758126,-17.890255534886393,5
11,15,0.05,10,5,10,0.45209297887758126,-17.890255534886393,5
17,10,0.01,10,5,10,0.45204437122038366,-15.756766742870473,6
5,5,0.05,10,5,10,0.4511674284360807,-17.421901989142224,4
7,20,0.01,10,5,10,0.45094208672160646,-15.840644275983717,6
9,10,0.05,5,5,5,0.4503947358551513,-11.553523175475835,9
19,15,0.05,10,5,5,0.44999454483226903,-10.619466404188977,6
11,10,0.05,5,5,5,0.4496039163724859,-12.019108171770037,7
13,20,0.01,5,5,10,0.4495069383040845,-15.840482749611963,9
13,20,0.0,5,5,5,0.44927475982256004,-11.73257615291243,9
11,20,0.01,10,5,10,0.4492214292714179,-15.826865863397098,6
11,10,0.05,10,5,5,0.44888367598647694,-12.302959221776343,6
17,5,0.0,10,5,10,0.44868759830552885,-17.13725002870479,6
9,20,0.01,10,5,5,0.4483946156093115,-12.186358246860848,6
9,20,0.0,10,5,5,0.4483946156093115,-12.174602513562807,6
17,20,0.05,10,5,5,0.448331801106299,-11.929446474594737,6
5,20,0.05,5,5,5,0.44821946387805406,-13.660916972575498,7
17,20,0.05,5,5,10,0.4481263127264232,-15.272330200325355,7
13,20,0.0,5,5,10,0.4480115226328255,-15.695023452915866,9
5,10,0.05,10,5,10,0.4476193637985592,-15.564949604283546,7
10,20,0.0,5,5,10,0.4476064721648708,-15.66404020049798,8
13,20,0.01,10,5,10,0.44712334236449236,-15.659750792052005,6
21,20,0.01,5,5,5,0.44708181984317225,-11.431182634051936,7
21,20,0.01,10,5,5,0.4464725903771495,-11.591177294188402,6
5,5,0.01,10,5,10,0.44637336659127347,-16.16663477006885,5
21,15,0.05,10,5,10,0.4463313017207089,-16.67094969206004,5
20,20,0.01,10,5,10,0.4459607010446168,-16.22362730558219,6
17,5,0.05,5,5,5,0.4458833258858733,-12.757657754488317,10
8,20,0.01,5,5,10,0.4458585675245454,-16.84209794768313,5
11,20,0.01,10,5,5,0.44565153405543045,-11.252249784067589,6
13,15,0.05,5,5,5,0.44543762147702726,-11.132779463445486,9
8,15,0.01,10,5,10,0.4453952616094079,-17.388840256368756,4
7,15,0.01,5,5,10,0.44509318610133686,-14.461828878916176,9
9,20,0.01,10,5,10,0.44459464670759524,-15.739046918011116,6
11,20,0.05,5,5,10,0.44420803960623106,-15.762054764210347,7
12,10,0.01,5,5,5,0.4439879308111781,-12.005327899159662,8
7,20,0.05,10,5,10,0.4439358441930331,-15.753602516212904,6
7,20,0.05,5,5,10,0.4439358441930331,-15.753602516212904,6
11,5,0.05,5,5,10,0.44390021567102883,-17.34276403288276,9
15,20,0.0,10,5,10,0.4438161027754599,-16.75492019079406,5
13,10,0.0,5,5,5,0.44363365315047626,-12.718254876710205,7
10,15,0.0,5,5,10,0.4435656797164055,-13.95825832468378,8
11,15,0.01,5,5,10,0.44326030120048804,-17.54788358548496,5
11,15,0.01,10,5,10,0.44326030120048804,-17.54788358548496,5
13,10,0.01,5,5,5,0.44305998639660554,-11.959815642642257,7
17,10,0.05,10,5,5,0.44305310057565467,-11.468400711819724,6
9,5,0.05,5,5,5,0.4429370502847415,-11.22020346447529,6
17,20,0.01,10,5,10,0.4428763564671132,-16.024443823031618,6
11,20,0.0,5,5,10,0.4428597881692274,-15.597650598445796,7
5,15,0.0,5,5,10,0.4428447933820225,-16.292713414552512,7
12,5,0.01,10,5,10,0.4428077819120967,-17.973935060414664,6
12,20,0.0,10,5,5,0.4423121569990558,-12.064297412873325,6
5,20,0.0,5,5,10,0.4422809237225965,-15.271392683228164,7
10,10,0.01,5,5,10,0.4417637141965132,-15.929616561571564,7
20,15,0.01,5,5,5,0.4417537725878908,-11.763289076964906,6
19,15,0.01,10,5,10,0.44165200843651037,-15.229785222984578,6
12,15,0.01,5,5,10,0.4416004690586568,-15.595701838959982,7
3,10,0.0,10,5,10,0.4415562800543354,-17.079887890010514,7
3,10,0.0,5,5,10,0.4415562800543354,-17.079887890010514,7
11,20,0.0,10,5,10,0.44153835239958755,-15.457208314467257,6
17,15,0.01,5,5,10,0.4413205330724061,-15.539811322257313,7
7,5,0.05,10,5,10,0.4411768308147308,-17.175514087130885,8
17,10,0.01,10,5,5,0.44104767953482266,-13.020724646014713,6
17,5,0.0,10,5,5,0.4410019755811401,-12.786361997741881,6
12,10,0.01,10,5,5,0.4408600002353937,-10.991202315721813,7
13,20,0.05,10,5,10,0.44075046835821624,-15.917520290906667,7
13,15,0.01,5,5,5,0.4404766908060128,-11.68659754429729,6
17,10,0.0,10,5,10,0.4404273133657176,-16.455759222762453,6
21,10,0.05,5,5,5,0.44004859223595466,-10.635021668537851,7
9,5,0.0,5,5,10,0.4399936637894954,-17.343406824754034,9
3,20,0.0,5,5,10,0.4399056944179038,-15.435786207089158,7
3,20,0.0,10,5,10,0.4399056944179038,-15.435786207089158,7
9,20,0.01,5,5,10,0.4397696094732277,-14.620344175492725,7
17,15,0.01,10,5,10,0.43961423959370116,-16.400620723242803,6
15,15,0.01,5,5,5,0.4394682074214301,-11.639586697473014,6
15,15,0.01,10,5,5,0.4394682074214301,-11.639586697473014,6
5,20,0.01,10,5,10,0.43940787132273923,-16.400834022281863,6
3,10,0.05,10,5,10,0.43924322856508907,-16.00661510296791,7
8,10,0.01,10,5,5,0.4390359981710726,-13.54111446797524,5
8,15,0.0,10,5,10,0.4388269990288894,-16.91658893314058,6
9,20,0.0,5,5,5,0.43880323324114445,-11.914570415209367,7
19,10,0.01,10,5,10,0.43864414462724355,-15.368625055344639,8
17,20,0.01,5,5,10,0.43863964563368035,-16.340609097591056,7
7,10,0.0,5,5,10,0.4384808821739848,-16.63649571590594,7
5,20,0.01,5,5,10,0.43839448938316744,-15.149782499319132,7
10,20,0.01,5,5,10,0.4381521344618168,-16.400282969536352,8
5,15,0.0,10,5,5,0.43809724441519904,-13.018959545057797,6
13,15,0.05,10,5,10,0.43806723820920135,-16.41972544812637,6
15,20,0.0,5,5,10,0.43805776101334387,-15.921675178649261,7
12,20,0.01,5,5,10,0.4378934915153611,-15.90236826167343,7
3,10,0.05,10,5,5,0.4378780519854808,-10.997624341369916,7
8,5,0.0,5,5,10,0.4378103079859395,-16.744107589565417,11
13,10,0.05,10,5,5,0.4375806385466123,-12.132368804190683,6
9,10,0.0,10,5,10,0.43714892162866387,-15.657467903852748,7
10,10,0.0,5,5,10,0.4370085753567854,-15.675193155948216,7
9,20,0.05,10,5,10,0.43695841072409536,-14.939369953119392,6
9,20,0.05,5,5,10,0.43695841072409536,-14.939369953119392,6
9,15,0.05,5,5,5,0.43663628146396355,-13.411275852198724,6
9,15,0.05,10,5,5,0.43663628146396355,-13.411275852198724,6
15,10,0.0,10,5,10,0.4362894357694498,-15.369790029118088,7
