n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
18,25,0.025,5,5,5,0.5745876208074377,-8.620037084891294,8
5,15,0.025,5,5,5,0.5605054190301303,-8.866024169442014,8
18,25,0.01,5,5,5,0.5470208813019095,-9.250326917468737,8
11,15,0.0,5,5,5,0.5459575541350378,-10.019338172014676,8
14,10,0.01,5,5,5,0.5391145963155466,-11.548155830914606,9
3,10,0.05,5,5,5,0.5357021996070628,-9.821749029277864,8
3,20,0.01,5,5,5,0.534507642699639,-12.637274893558796,9
14,10,0.05,5,5,5,0.5297243520893895,-12.305007410781874,8
13,15,0.01,5,5,5,0.5280293188551178,-9.66223883535879,8
9,25,0.025,5,5,5,0.527296358017493,-11.937985949908292,6
7,25,0.05,5,5,5,0.5269184500119093,-10.171137851144838,9
16,20,0.01,5,5,5,0.5251790960921312,-9.286377979788622,6
13,15,0.0,5,5,5,0.5240004320538425,-10.306537248728905,8
13,15,0.025,5,5,5,0.5232439330778716,-10.348572788144127,8
20,15,0.025,5,5,5,0.5231431122666533,-9.109167444081224,10
5,25,0.01,5,5,5,0.5194964871975152,-8.677626182459846,9
5,25,0.0,5,5,5,0.5187095681529131,-9.49441494880338,9
18,25,0.0,5,5,5,0.5151273882808075,-10.465236793845916,7
11,20,0.01,5,5,5,0.5148809414894274,-11.625537385551397,8
14,25,0.01,5,5,5,0.5142850931146922,-11.685764864226613,7
4,25,0.05,5,5,5,0.5135759030659108,-12.623942289935158,4
5,15,0.01,5,5,5,0.5126550718439427,-10.902484038175704,9
4,25,0.0,5,5,5,0.5122600745400945,-10.981700770475092,7
8,25,0.0,5,5,5,0.5100652165061861,-12.124150949725806,8
12,25,0.025,5,5,5,0.5091539665649831,-10.002184032187573,9
6,10,0.025,5,5,5,0.5070339763235753,-10.736622877855416,8
20,10,0.05,5,5,5,0.5053642838241093,-12.358726723921201,9
18,5,0.05,5,5,5,0.5047981938613593,-9.246681393970654,6
9,25,0.05,5,5,5,0.5047580127248391,-11.479069785459313,6
10,10,0.01,5,5,5,0.5037023795917842,-12.886790394243992,9
17,10,0.0,5,5,5,0.5036365933379521,-10.327893941121925,9
11,20,0.05,5,5,5,0.5032999110149908,-11.062612713985304,6
5,15,0.0,5,5,5,0.5030846247090707,-11.475926842755955,7
19,15,0.05,5,5,5,0.5021528763121165,-12.062087789707668,7
14,20,0.0,5,5,5,0.5016857433932937,-10.282486688766832,7
12,20,0.05,5,5,5,0.501611581829036,-12.310862451551236,7
3,20,0.05,5,5,5,0.5013534992085442,-11.714305088825649,7
13,25,0.0,5,5,5,0.5005307581368202,-12.126385610615928,7
13,25,0.01,5,5,5,0.5005307581368202,-12.126385610615932,7
7,15,0.01,5,5,5,0.4998517034083897,-11.538509195573653,8
2,20,0.01,5,5,5,0.49958733443130854,-11.45336187507616,9
6,25,0.025,5,5,5,0.49930932663345545,-10.634264200520548,8
4,20,0.0,5,5,5,0.49925563098688996,-10.771493167958901,9
3,25,0.0,5,5,5,0.4990021910201839,-13.44173637834115,8
8,15,0.025,5,5,5,0.49896384407882843,-12.871499897652873,7
18,15,0.05,5,5,5,0.4985158927047694,-11.192897993197501,8
6,15,0.01,5,5,5,0.49830091086754447,-11.23609968012043,9
11,10,0.0,5,5,5,0.4982308217496857,-11.228223468045408,8
19,10,0.05,5,5,5,0.49802121829770574,-10.078603942802586,7
17,10,0.025,5,5,5,0.4967764315869182,-11.707387865261321,9
18,15,0.025,5,5,5,0.4960668477135896,-11.345694331687312,7
15,25,0.05,5,5,5,0.49470827516155147,-11.463332205067932,8
10,20,0.05,5,5,5,0.4939257131681667,-11.138208239129,9
7,25,0.0,5,5,5,0.49388959918633485,-13.41611627173514,8
14,10,0.025,5,5,5,0.49268974259731446,-12.652116004346519,9
3,15,0.01,5,5,5,0.4916432209801336,-13.872538279666037,6
6,10,0.05,5,5,5,0.49014827466982425,-10.005615018186614,9
9,15,0.025,5,5,5,0.48975692769827833,-11.570709805464384,8
3,20,0.0,5,5,5,0.489581309571434,-12.25524731246094,8
7,25,0.025,5,5,5,0.4884625717268161,-12.084769988686654,7
13,20,0.0,5,5,5,0.4871109990119577,-10.885665324520655,9
12,20,0.025,5,5,5,0.4870649009552805,-13.398720213206326,6
19,10,0.025,5,5,5,0.48671379679692506,-10.443699234560777,7
11,20,0.025,5,5,5,0.48669172708383995,-11.580627084013136,6
7,20,0.05,5,5,5,0.4862124279700089,-13.342313352591233,8
12,20,0.0,5,5,5,0.4861895313725224,-13.402366644342205,6
10,10,0.0,5,5,5,0.4845158273315794,-11.316929848781326,8
20,10,0.025,5,5,5,0.4844035667288099,-12.071159214992067,10
6,15,0.0,5,5,5,0.4837452195926253,-11.482467452049825,9
6,25,0.05,5,5,10,0.4833190650256867,-18.127970688006094,5
18,5,0.01,5,5,5,0.48328943030638016,-9.290417980825849,3
7,25,0.01,5,5,5,0.4831019958846143,-12.517997727099438,8
6,25,0.0,5,5,10,0.4827563185783974,-17.53952768045071,5
13,20,0.025,5,5,10,0.4825223931484837,-16.4331057358986,6
10,15,0.05,5,5,5,0.482493841413744,-12.263023712755645,7
10,20,0.0,5,5,5,0.48243215477695284,-10.883669597636782,9
6,15,0.025,5,5,5,0.48241145932093266,-10.968335785889556,9
7,10,0.0,5,5,5,0.48235807160646477,-10.303022429139318,8
19,25,0.025,5,5,5,0.4820618868725911,-11.018695931290653,9
8,25,0.025,5,5,5,0.4820488015233373,-12.885691053111852,9
14,10,0.0,5,5,5,0.48191922554563404,-12.342480567783804,8
12,25,0.01,5,5,5,0.48186314782757705,-11.139647684186128,8
16,20,0.05,5,5,5,0.4817712149703137,-11.531173131248098,6
5,10,0.05,5,5,5,0.48148689044686205,-13.347167892249695,6
19,10,0.01,5,5,5,0.4814705609441174,-10.097763647312327,7
8,25,0.01,5,5,5,0.48140757529519346,-11.329099435106231,7
11,20,0.05,5,5,10,0.4810857556475532,-16.258657799757206,6
11,10,0.05,5,5,5,0.4808885182960801,-10.512613077777422,8
20,15,0.05,5,5,10,0.4803233657740913,-18.466995340401006,5
5,10,0.0,5,5,10,0.47932430631111894,-16.473437638340755,6
