n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
11,20,0.05,5,5,5,0.5772587482601989,-7.819817062017731,20
15,10,0.01,5,5,5,0.57294793242338,-8.423614506178767,26
17,10,0.0,5,5,5,0.5705683782503861,-8.46404561848143,24
19,10,0.05,5,5,5,0.569030980589417,-8.225197990852632,21
19,15,0.05,5,5,5,0.5675681875318576,-8.150177343651453,18
3,20,0.05,5,5,5,0.56505354087161,-8.504878768025286,23
15,10,0.0,5,5,5,0.5644001934859457,-8.48806333967258,26
9,10,0.01,5,5,5,0.5558549210837764,-7.918614115612386,17
15,10,0.05,5,5,5,0.5515605191820829,-8.44897768964867,20
19,20,0.01,5,5,5,0.5508897906549722,-8.130803723482282,16
19,10,0.05,10,5,5,0.5480376968775584,-8.304317779069274,17
3,15,0.05,5,5,5,0.5470717499140294,,24
7,20,0.05,5,5,5,0.5407072007643419,,23
10,10,0.01,5,5,5,0.5401855655189117,-8.83735113575485,23
5,10,0.05,5,5,5,0.5392488909834182,-8.640161243420984,23
9,20,0.05,5,5,5,0.5370659750022441,-8.846108832992385,15
3,15,0.0,5,5,5,0.5368385059219398,-9.426767521292941,26
17,10,0.01,5,5,5,0.5362722010031875,-9.282252573720381,24
15,15,0.05,5,5,5,0.5354571660182277,-9.695835879153925,19
7,10,0.01,5,5,5,0.5310980563370041,-7.750640668374187,6
9,15,0.05,10,5,5,0.5306140308564455,-9.00580321619106,7
11,5,0.0,5,5,5,0.5296930868194715,-8.019908547600942,11
9,20,0.0,5,5,5,0.5291401852063903,-8.858285310030706,19
9,10,0.0,5,5,5,0.5284674567819394,-8.299201193826192,18
21,20,0.01,5,5,5,0.5284541189579175,-8.145012223674637,14
3,10,0.01,5,5,5,0.5260258588545629,-9.54322411262171,20
17,20,0.0,5,5,5,0.5229944439900438,-8.964421918678259,22
21,10,0.01,10,5,5,0.522514280186706,-8.311214935432714,15
10,10,0.0,5,5,5,0.5220646871365555,-9.449415202219988,21
12,20,0.01,5,5,5,0.5220532860374874,-9.279830669698024,22
11,20,0.0,5,5,5,0.5206948051366758,-8.86670582642179,17
19,10,0.0,5,5,5,0.520655216509497,-8.770036990030558,23
7,20,0.01,10,5,5,0.5205302218313989,-8.619695492321117,14
3,15,0.01,5,5,5,0.5187036856290286,-9.68067729734164,26
10,10,0.0,10,5,5,0.5185080609480659,-8.86894888451796,18
19,15,0.01,5,5,5,0.5177310100187773,-9.340395976207747,18
19,5,0.0,5,5,5,0.516047387561026,-7.72359134017543,8
12,10,0.0,5,5,5,0.5159689235623689,-9.724716925647671,24
11,10,0.0,5,5,5,0.5136199592826962,-8.644879945441623,18
13,20,0.05,5,5,5,0.5128914393715891,-8.921655268019387,14
11,10,0.01,5,5,5,0.5115698977195487,-9.79037768634296,22
9,10,0.05,5,5,5,0.5110546669194058,-8.46132861166541,15
7,15,0.0,5,5,5,0.5092433583861528,-8.941597496117014,14
9,20,0.01,5,5,5,0.508516261355763,-10.164031849640953,20
21,10,0.0,10,5,5,0.5085053042473666,-9.108078382789639,17
8,20,0.0,5,5,5,0.5073651727741437,-9.473929426004837,20
9,15,0.05,5,5,5,0.5065455729195956,-10.109767411534776,20
17,20,0.05,5,5,5,0.504543450706798,-9.544931868501031,22
5,20,0.0,5,5,5,0.5044102597916842,-9.734926613154613,24
5,10,0.0,5,5,5,0.5042913715951747,-8.356988627503718,14
19,20,0.05,5,5,5,0.5031576745829263,-9.935409596566206,20
15,5,0.01,5,5,5,0.5030331346915522,-9.251692179694167,9
5,15,0.01,5,5,5,0.5027954102630818,-9.584643947024517,21
19,15,0.0,10,5,5,0.5024488943636072,-8.849478184551883,14
19,15,0.0,5,5,5,0.5019941284331938,-9.641516742420277,23
10,20,0.01,5,5,5,0.5018231952564369,-9.933801245318296,21
20,10,0.01,10,5,5,0.5017170407979424,-9.234332989038126,15
20,10,0.0,10,5,5,0.5016615615900294,-9.216853229601517,15
7,5,0.05,5,5,5,0.5015784319862131,-8.262431121224942,9
19,20,0.0,5,5,5,0.5014566843728061,-9.201036327943674,16
17,10,0.0,10,5,5,0.501080026218466,-9.504232567693997,17
17,15,0.0,5,5,5,0.5005062059229916,-9.622502373007208,17
13,10,0.05,10,5,5,0.500463239181436,-9.54341497632131,16
19,10,0.0,10,5,5,0.49946950582415195,-9.179916694465241,19
7,20,0.05,10,5,5,0.498464499694494,-8.657108827000911,13
15,15,0.01,5,5,5,0.49699715486252316,-10.78143246584067,24
5,15,0.05,5,5,5,0.4964936374011398,-9.783373683216343,23
12,10,0.0,10,5,5,0.4963561814303044,-9.49277297030913,16
13,10,0.05,5,5,5,0.4963319025384879,-9.997805948264418,17
19,15,0.01,10,5,5,0.4956367577031359,-9.115291956440466,14
19,20,0.05,10,5,10,0.49489961886795997,-13.381183878337437,3
5,20,0.01,5,5,5,0.49485014126518867,-10.132947205492664,25
