n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
20,10,0.0,5,5,5,0.5440461457231056,-8.584155106022857,20
10,10,0.01,5,5,5,0.5399666151276281,-8.477483221372289,19
10,10,0.05,5,5,5,0.5203947345701904,-9.251759632517942,20
11,25,0.0,5,5,5,0.5175141722058116,-9.065032388197723,19
8,25,0.05,5,5,5,0.5079554898822871,-9.299546536557546,16
3,20,0.025,5,5,5,0.5069210719636182,-9.41388051170046,24
6,25,0.025,5,5,5,0.4977153881566417,-9.138880134677981,19
17,15,0.05,5,5,5,0.4970997569965883,-10.242246371584109,21
12,20,0.05,5,5,5,0.49640325350049724,-8.878032085824469,16
20,15,0.05,5,5,5,0.4950947740331434,-9.686389134392968,17
3,10,0.025,5,5,5,0.49249722743234364,-9.081026993230601,14
20,10,0.05,5,5,5,0.4919919350130003,-9.654341089060804,21
4,15,0.05,5,5,5,0.4888367826698124,-10.057222767468577,22
19,25,0.05,5,5,5,0.4877550096609004,-9.178376344838224,18
3,10,0.05,5,5,5,0.48687118681194064,-9.618788356367766,18
18,25,0.025,5,5,5,0.48683025507311734,-9.8090411746775,15
11,25,0.01,5,5,5,0.48597598252567753,-10.252178213410065,21
5,20,0.025,5,5,5,0.48595573300342687,,20
20,20,0.0,5,5,5,0.48115573799947764,-10.364362468728677,20
6,10,0.05,5,5,5,0.48007706210799983,-10.334134080350346,21
15,30,0.05,5,5,5,0.4792950418041224,-9.85241098368918,21
15,20,0.0,5,5,5,0.4778325891026713,,13
8,10,0.025,5,5,5,0.47634708245207924,-9.686205873410636,17
20,20,0.05,5,5,5,0.47609335850082446,-9.90078010584997,16
12,20,0.0,5,5,5,0.4755561563343958,-9.903500181538076,19
9,10,0.01,5,5,5,0.4741195168971218,-10.639503349341458,21
4,30,0.05,5,5,5,0.47328416483147046,-10.745205319215755,22
12,25,0.025,5,5,5,0.47296695502490094,-10.52562395090402,21
12,20,0.025,5,5,5,0.4726199885836549,-9.71194854132636,15
16,25,0.05,5,5,5,0.47107527969079643,,20
6,25,0.0,5,5,5,0.47045810792560533,-10.477531522044693,20
20,20,0.01,5,5,5,0.47044369799259533,-10.064164131057764,20
9,10,0.05,5,5,5,0.47026954976601626,-10.551408635503483,23
17,15,0.01,5,5,5,0.4693625402948741,-10.476470057512419,21
5,20,0.0,5,5,5,0.4686781285030636,-11.091182188030272,24
9,10,0.0,5,5,5,0.46856048102788966,-10.637664949480412,26
14,10,0.01,5,5,5,0.4682462738450058,-10.70518313692633,21
9,10,0.025,5,5,5,0.46821444580118665,-9.966826175241634,19
20,25,0.01,5,5,5,0.46737007362767224,-9.995765109702758,21
6,25,0.01,5,5,5,0.46721156331642744,-10.522156918603358,22
18,30,0.0,5,5,5,0.4664324258092596,-9.6002994584418,17
6,30,0.0,5,5,5,0.4662201821367415,-10.820889290221366,23
14,5,0.0,5,5,5,0.46604243982360416,,22
17,10,0.0,5,5,5,0.46478447985455895,-9.787579776213137,17
2,25,0.0,5,5,5,0.46467512940606637,-11.094578130044198,5
5,5,0.05,5,5,5,0.46444327215035563,-11.608386988109691,26
15,30,0.025,5,5,5,0.4633910089717723,-10.174786183396856,21
19,25,0.01,5,5,5,0.46308395795407337,-9.878409847513467,12
14,30,0.01,5,5,5,0.4629461828395628,-10.122974381481319,22
3,30,0.0,5,5,5,0.4623464610715195,-10.778878744768841,19
8,10,0.05,5,5,5,0.4619968219133771,-10.870593732390766,23
15,30,0.0,5,5,5,0.46164447345585147,-10.177004652287541,18
20,10,0.01,5,5,5,0.461567529603114,-10.569247432210794,19
10,30,0.025,5,5,5,0.46137002712300657,-11.075451083487334,22
18,10,0.05,5,5,5,0.4608485695694229,-11.472999291564356,28
2,30,0.01,5,5,5,0.46063487501474315,,20
18,15,0.01,5,5,5,0.45991070898493575,-10.156109407416148,16
20,30,0.025,5,5,5,0.4598804813860274,-10.3850610808866,16
17,30,0.01,5,5,5,0.45985527500686113,-10.829466460269487,23
20,25,0.0,5,5,5,0.45918209027812773,-9.876755632489603,17
14,5,0.01,5,5,5,0.45901133075875594,,24
18,10,0.025,5,5,5,0.45825573951774057,-10.718997216590967,21
7,5,0.025,5,5,5,0.45815379810393353,-10.504900332768718,22
3,25,0.05,5,5,5,0.4579030154132811,-9.323423669355305,13
20,20,0.025,5,5,5,0.4577510661066141,-10.69750710790363,20
7,20,0.01,5,5,5,0.4574694775973389,-11.356576333217031,23
14,10,0.05,5,5,5,0.4569382776799224,-10.975091795008442,20
19,25,0.0,5,5,5,0.4566986143570284,-10.26933086418837,19
17,10,0.05,5,5,5,0.4566062110854692,-10.525580556256525,22
10,25,0.01,5,5,5,0.4561779786318083,-10.339813117874144,18
6,20,0.025,5,5,5,0.4561363387792405,-9.646731787226175,16
10,30,0.0,5,5,5,0.4561161012282825,-10.763452799542325,21
16,15,0.025,5,5,5,0.4556631784674309,-10.716874490251941,24
7,20,0.0,5,5,5,0.4554377562823678,-11.59349306249172,21
5,20,0.05,5,5,5,0.4551295419579954,-10.492146611181056,22
7,25,0.05,5,5,5,0.45471523840908573,-9.742733326038547,11
8,30,0.05,5,5,5,0.4539289201369353,-10.52031552474634,22
11,25,0.025,5,5,5,0.45369218755896495,-9.367081294639132,14
7,5,0.05,5,5,5,0.45239324222336946,-10.482081611755472,28
9,25,0.0,5,5,5,0.4523127609831115,-10.275819333737186,16
16,15,0.01,5,5,5,0.45191775325581657,-11.14150120845384,23
18,30,0.05,5,5,5,0.451877717960535,-10.31134263358648,18
16,25,0.025,5,5,5,0.4518611254631243,-9.834736929779353,11
10,25,0.0,5,5,5,0.451570695714299,-10.017916056359388,15
11,15,0.0,5,5,5,0.4515221180708546,-10.830162530514283,27
4,25,0.025,5,5,5,0.4513699020121625,-11.112927518983886,18
6,5,0.0,5,5,5,0.4511342127328904,-10.671387833814116,11
15,30,0.01,5,5,5,0.451094449958432,-10.221274966418418,18
15,25,0.05,5,5,5,0.45102945097045505,-9.773245562585066,11
14,25,0.0,5,5,5,0.4491331075080766,-10.76157425241895,21
5,10,0.0,5,5,5,0.44901103870119535,-10.79401917046624,19
9,20,0.025,5,5,5,0.4488943793246106,-10.536288212947476,18
20,25,0.025,5,5,5,0.4488652167888017,-10.694718857335818,17
10,5,0.0,5,5,5,0.4488346571410854,-11.790047709611281,30
14,10,0.0,5,5,5,0.4487659168213074,-11.201158852100829,20
4,30,0.01,5,5,5,0.44862265101104126,-11.312512423379035,21
6,20,0.0,5,5,5,0.44856168570924937,,23
10,15,0.025,5,5,5,0.448302146287899,-10.526053920360226,18
8,20,0.025,5,5,5,0.4480734229186255,-10.715485554073965,20
20,5,0.05,5,5,5,0.44792773343626724,-11.181886337269512,23
5,10,0.025,5,5,5,0.4478921257509575,-10.981911166335212,21
12,5,0.05,5,5,5,0.44787946807406415,-10.834634404195542,26
20,30,0.05,5,5,5,0.4475146518591762,-10.544619531964974,15
8,25,0.025,5,5,5,0.44719488015527586,-10.229837511968965,15
14,30,0.025,5,5,5,0.44698906782352266,-10.391288255394867,17
10,20,0.025,5,5,5,0.4469003286360004,-10.970482850556436,17
13,25,0.01,5,5,5,0.44611050054195356,-11.489198180590453,22
12,5,0.01,5,5,5,0.44534159170740006,-11.651390874879935,23
5,20,0.01,5,5,5,0.44514777415758017,-10.873799044113161,20
9,20,0.05,5,5,5,0.4450571452566412,-10.53148041985041,18
6,10,0.0,5,5,5,0.44480944791243016,-11.598389245406294,31
20,25,0.05,5,5,5,0.44480747850731656,-10.685394369730817,20
13,5,0.05,5,5,5,0.4446747473549767,-11.51496755096712,22
12,30,0.05,5,5,5,0.44403232891083017,-11.086106245128176,22
