n_components,n_neighbors,min_dist,min_cluster_size,min_samples,top_n_words,coherence_score,cohenrece_score_umass,n_topics
10,10,0.01,5,5,5,0.5399666151276281,-8.477483221372289,19
3,20,0.025,5,5,5,0.5069210719636182,-9.41388051170046,24
6,25,0.025,5,5,5,0.4977153881566417,-9.138880134677981,19
3,10,0.025,5,5,5,0.49249722743234364,-9.081026993230601,14
5,20,0.025,5,5,5,0.48595573300342687,,20
8,10,0.025,5,5,5,0.47634708245207924,-9.686205873410636,17
9,10,0.01,5,5,5,0.4741195168971218,-10.639503349341458,21
6,25,0.0,5,5,5,0.47045810792560533,-10.477531522044693,20
5,20,0.0,5,5,5,0.4686781285030636,-11.091182188030272,24
9,10,0.0,5,5,5,0.46856048102788966,-10.637664949480412,26
9,10,0.025,5,5,5,0.46821444580118665,-9.966826175241634,19
6,25,0.01,5,5,5,0.46721156331642744,-10.522156918603358,22
7,20,0.01,5,5,5,0.4574694775973389,-11.356576333217031,23
10,25,0.01,5,5,5,0.4561779786318083,-10.339813117874144,18
6,20,0.025,5,5,5,0.4561363387792405,-9.646731787226175,16
7,20,0.0,5,5,5,0.4554377562823678,-11.59349306249172,21
9,25,0.0,5,5,5,0.4523127609831115,-10.275819333737186,16
10,25,0.0,5,5,5,0.451570695714299,-10.017916056359388,15
4,25,0.025,5,5,5,0.4513699020121625,-11.112927518983886,18
5,10,0.0,5,5,5,0.44901103870119535,-10.79401917046624,19
9,20,0.025,5,5,5,0.4488943793246106,-10.536288212947476,18
6,20,0.0,5,5,5,0.44856168570924937,,23
10,15,0.025,5,5,5,0.448302146287899,-10.526053920360226,18
8,20,0.025,5,5,5,0.4480734229186255,-10.715485554073965,20
5,10,0.025,5,5,5,0.4478921257509575,-10.981911166335212,21
8,25,0.025,5,5,5,0.44719488015527586,-10.229837511968965,15
10,20,0.025,5,5,5,0.4469003286360004,-10.970482850556436,17
5,20,0.01,5,5,5,0.44514777415758017,-10.873799044113161,20
6,10,0.0,5,5,5,0.44480944791243016,-11.598389245406294,31
7,20,0.025,5,5,5,0.4392192186064209,-11.33701688430905,27
7,10,0.0,5,5,5,0.4391284864533131,-10.662220972062924,21
10,10,0.025,5,5,5,0.4388309390019846,-11.297755414972087,22
